year,total_gpus,cumulative_gpus,num_clusters,avg_cluster_size,max_cluster_size
2010,7000.0,7000.0,1,7000.0,7000.0
2011,2000.0,9000.0,1,2000.0,2000.0
2012,3000.0,12000.0,1,3000.0,3000.0
2013,50000.0,62000.0,1,50000.0,50000.0
2014,11384.0,73384.0,3,3794.6666666666665,4224.0
2015,4160.0,77544.0,1,4160.0,4160.0
2016,9232.0,86776.0,5,1846.4,3040.0
2017,92068.0,178844.0,11,8369.818181818182,40000.0
2018,51390.0,230234.0,46,1117.1739130434783,17280.0
2019,58948.0,289182.0,83,710.2168674698795,5000.0
2020,145526.0,434708.0,73,1993.5068493150684,40000.0
2021,190754.0,625462.0,72,2649.3611111111113,100000.0
2022,244594.0,870056.0,43,5688.232558139535,37632.0
2023,597788.0,1467844.0,73,8188.876712328767,200000.0
2024,968884.0,2436728.0,93,10418.10752688172,100000.0
2025,483701.0,2920429.0,21,23033.380952380954,200000.0
